Date_Time,Temperature (°C),Humidity (%),Occupancy,Appliance Usage (kWh),Historical Energy Consumption (kWh),Weather Condition,Block,Energy Consumption (kWh)
01/01/2020 00:00,27.63,37.78,6,0.94,51.49,Clear,SNCO 15B,28.18
01/01/2020 01:00,30.22,51.51,9,3.38,51.86,Clear,MOQ 1,20.42
01/01/2020 02:00,28.24,76.6,4,2.78,49.76,Cloudy,CBQ 22,34.34
01/01/2020 03:00,34.8,47.86,7,1.62,21.79,Cloudy,SOQ 6,31.74
01/01/2020 04:00,15.05,48.33,10,2.36,55.27,Cloudy,SNCO 11A,15.25
01/01/2020 05:00,30.4,47.54,5,4.63,25.84,Rain,SOQ 7,22.87
01/01/2020 06:00,28.37,38.45,2,4.7,63.67,Clear,SOQ 10,19.76
01/01/2020 07:00,32.46,52.09,1,3.2,53.49,Windy,SOQ 9,19.63
01/01/2020 08:00,12.24,75.54,1,1.68,25.69,Windy,SOQ 20,31.28
01/01/2020 09:00,30.98,47.16,2,3.46,36.03,Clear,CBQ 10,22.43
01/01/2020 10:00,23.31,32.38,3,3.52,61.37,Clear,CBQ 18,39.85
01/01/2020 11:00,16.72,30.77,7,4.55,23.25,Clear,SOQ 18,38.8
01/01/2020 12:00,31.95,66.63,3,1.99,27.35,Rain,CBQ 28,33
01/01/2020 13:00,29.41,53.46,2,0.64,62.19,Clear,SNCO 15A,21.09
01/01/2020 14:00,22.38,67.63,0,0.94,56.41,Windy,CBQ 3,30.55
01/01/2020 15:00,23.82,54.09,4,1.25,35.1,Windy,CBQ 4,25.19
01/01/2020 16:00,14.99,52.07,2,3.51,36.42,Clear,MOQ 8,21.09
01/01/2020 17:00,19.49,78.77,5,3.1,52.46,Clear,SNCO 2A,35.82
01/01/2020 18:00,27.82,65.09,8,3.68,44.61,Cloudy,CBQ 16,19.05
01/01/2020 19:00,10.69,33.29,5,2.63,36.07,Cloudy,SOQ 10,32.8
01/01/2020 20:00,25.82,30.72,0,1.89,65.38,Clear,SOQ 17,36.45
01/01/2020 21:00,20.22,45.56,10,4.96,21.52,Windy,CBQ 11,33.95
01/01/2020 22:00,32.25,78.11,8,3.3,57.7,Rain,MOQ 13,20.24
01/01/2020 23:00,26.41,79.95,2,2.78,58.22,Windy,MOQ 19,21.85
02/01/2020 00:00,31.45,76.19,1,4.18,52.19,Rain,CBQ 24,17.26
02/01/2020 01:00,17.12,69.53,2,4.32,46.17,Rain,SNCO 8A,22.03
02/01/2020 02:00,12.93,74.61,6,1.73,56.93,Cloudy,SOQ 6,38.24
02/01/2020 03:00,15.11,37.71,7,4.91,38.85,Clear,SOQ 5,16.22
02/01/2020 04:00,23.57,36.51,4,1.85,23.75,Cloudy,MOQ 15,20.93
02/01/2020 05:00,26.55,63.81,4,1.38,62.56,Cloudy,MOQ 13,17.92
02/01/2020 06:00,26.1,52.68,6,4.88,58.68,Clear,SNCO 7B,15.34
02/01/2020 07:00,15.71,35.92,8,2.02,30.06,Rain,CBQ 29,38.94
02/01/2020 08:00,21.96,51.17,7,3.31,54.17,Windy,MOQ 20,35.95
02/01/2020 09:00,21.43,69.25,9,3.45,51.12,Cloudy,SOQ 16,36.06
02/01/2020 10:00,10.88,58.42,0,1.44,20.91,Rain,SNCO 18A,15.47
02/01/2020 11:00,29.04,54.09,1,2.29,69.29,Clear,MOQ 15,35.78
02/01/2020 12:00,20.55,79.35,4,2.63,27.05,Rain,CBQ 29,15.1
02/01/2020 13:00,18.83,74.86,8,3.84,48.37,Clear,SNCO 6B,31.5
02/01/2020 14:00,15.96,69.64,8,4.44,54.7,Cloudy,MOQ 14,24.94
02/01/2020 15:00,20.33,31.25,3,3.24,39.04,Windy,SNCO 3B,16.09
02/01/2020 16:00,17.75,61.56,7,4.38,32.51,Windy,MOQ 9,35.3
02/01/2020 17:00,23.37,42.88,5,1.72,54.96,Windy,SNCO 16A,32.89
02/01/2020 18:00,34.57,69.37,5,0.86,28.14,Clear,CBQ 3,18.76
02/01/2020 19:00,25.41,41.35,3,3.26,51.41,Cloudy,SOQ 13,22.77
02/01/2020 20:00,19.08,32.86,8,2.5,60.12,Windy,CBQ 1,36.46
02/01/2020 21:00,33.92,47.32,10,4.92,31.11,Rain,MOQ 16,27.06
02/01/2020 22:00,31.91,71.71,3,3.52,55.68,Cloudy,CBQ 21,29.93
